Date,Open,High,Low,Close,Volume
16/5/2006,0.762835,0.768994,0.760688,0.767106,0
17/5/2006,0.766871,0.772618,0.757576,0.759417,0
18/5/2006,0.759417,0.767577,0.758725,0.764,0
19/5/2006,0.763884,0.764818,0.753012,0.757174,0
22/5/2006,0.756888,0.756888,0.747105,0.753409,0
23/5/2006,0.752672,0.759474,0.749513,0.750976,0
24/5/2006,0.751315,0.755915,0.749906,0.753125,0
25/5/2006,0.753182,0.762079,0.751484,0.760919,0
26/5/2006,0.760803,0.760977,0.756201,0.758093,0
29/5/2006,0.757518,0.759705,0.757404,0.759013,0
30/5/2006,0.759186,0.764526,0.757289,0.761789,0
31/5/2006,0.761905,0.764701,0.751597,0.752785,0
1/6/2006,0.752672,0.753125,0.744713,0.747887,0
2/6/2006,0.747664,0.752502,0.745379,0.751089,0
5/6/2006,0.750582,0.754375,0.747328,0.748279,0
6/6/2006,0.748223,0.748615,0.739645,0.7414,0
7/6/2006,0.74129,0.743218,0.739481,0.742391,0
8/6/2006,0.742391,0.746603,0.740796,0.742611,0
9/6/2006,0.742501,0.750525,0.741785,0.750525,0
12/6/2006,0.748223,0.749906,0.742391,0.742391,0
13/6/2006,0.742721,0.74499,0.737083,0.737626,0
14/6/2006,0.737409,0.740905,0.734916,0.73779,0
15/6/2006,0.736974,0.742997,0.736703,0.742611,0
16/6/2006,0.742446,0.744491,0.73779,0.739426,0
19/6/2006,0.737517,0.73888,0.736214,0.736485,0
20/6/2006,0.736594,0.740576,0.736377,0.737626,0
21/6/2006,0.737626,0.740521,0.734484,0.738607,0
22/6/2006,0.739098,0.741895,0.732601,0.733622,0
23/6/2006,0.733783,0.735294,0.730834,0.732011,0
26/6/2006,0.731315,0.733514,0.729607,0.732923,0
27/6/2006,0.732977,0.735294,0.731689,0.731797,0
28/6/2006,0.731904,0.732977,0.727696,0.729075,0
29/6/2006,0.729022,0.740192,0.727696,0.739426,0
30/6/2006,0.739317,0.745212,0.738825,0.742777,0
3/7/2006,0.743108,0.74599,0.7414,0.742777,0
4/7/2006,0.742887,0.747105,0.742501,0.743826,0
5/7/2006,0.744103,0.747384,0.740302,0.741895,0
6/7/2006,0.741895,0.747217,0.74118,0.745712,0
7/7/2006,0.745879,0.752899,0.74549,0.751993,0
10/7/2006,0.751484,0.752785,0.746324,0.747384,0
11/7/2006,0.747328,0.753523,0.746993,0.752672,0
12/7/2006,0.752445,0.755572,0.751428,0.752785,0
13/7/2006,0.752672,0.756544,0.75188,0.753579,0
14/7/2006,0.753523,0.754774,0.748615,0.754489,0
17/7/2006,0.753579,0.753693,0.747217,0.747887,0
18/7/2006,0.747887,0.753125,0.744768,0.746993,0
19/7/2006,0.746882,0.751428,0.740905,0.750582,0
20/7/2006,0.750413,0.753125,0.749288,0.750582,0
21/7/2006,0.750807,0.755002,0.749344,0.754205,0
24/7/2006,0.752106,0.755173,0.750582,0.753579,0
25/7/2006,0.753523,0.756601,0.751993,0.753523,0
26/7/2006,0.753523,0.762195,0.752899,0.760803,0
