Date,Open,High,Low,Close,Change %
21/03/2005,0.859033,0.859106,0.831463,0.833542,-2.967406374
28/03/2005,0.833403,0.841326,0.827746,0.830082,-0.41509606
04/04/2005,0.830082,0.835841,0.823723,0.834794,0.567654762
11/04/2005,0.834725,0.840407,0.820614,0.833056,-0.208195076
18/04/2005,0.832917,0.851861,0.830634,0.84631,1.591009488
25/04/2005,0.846453,0.846812,0.835282,0.835981,-1.220474767
02/05/2005,0.836051,0.841538,0.827883,0.828432,-0.903010954
09/05/2005,0.828432,0.835352,0.815129,0.815328,-1.581783417
16/05/2005,0.815328,0.822842,0.809192,0.810438,-0.599758625
23/05/2005,0.810504,0.816727,0.808211,0.81103,0.07304692
30/05/2005,0.81103,0.81182,0.794029,0.798085,-1.596118516
06/06/2005,0.798085,0.805802,0.784929,0.788084,-1.253124667
13/06/2005,0.788146,0.796813,0.782167,0.790514,0.308342765
20/06/2005,0.790764,0.79277,0.77997,0.786102,-0.558117883
27/06/2005,0.786102,0.790014,0.769823,0.770535,-1.980277369
04/07/2005,0.770119,0.777726,0.765111,0.769468,-0.138475215
11/07/2005,0.769586,0.787402,0.757576,0.771188,0.223531063
18/07/2005,0.771248,0.783392,0.764818,0.770179,-0.130837098
25/07/2005,0.770179,0.77997,0.766166,0.776036,0.760472565
01/08/2005,0.776096,0.795988,0.775494,0.790639,1.8817426
08/08/2005,0.790701,0.804246,0.789266,0.802826,1.541411441
15/08/2005,0.802826,0.803148,0.783269,0.785114,-2.206206575
22/08/2005,0.785053,0.798722,0.782289,0.795545,1.328596866
29/08/2005,0.795608,0.81646,0.784868,0.814067,2.328215249
05/09/2005,0.814133,0.81706,0.802182,0.804052,-1.23024272
12/09/2005,0.803859,0.804764,0.783331,0.78376,-2.523717372
19/09/2005,0.783515,0.790014,0.772678,0.772559,-1.42913647
26/09/2005,0.772618,0.777605,0.769586,0.773156,0.077275651
03/10/2005,0.773156,0.789017,0.766871,0.78125,1.046877991
10/10/2005,0.781311,0.784252,0.768344,0.778331,-0.373632
17/10/2005,0.77824,0.781525,0.765052,0.773814,-0.580344352
24/10/2005,0.773754,0.787712,0.772201,0.780975,0.925416185
31/10/2005,0.780975,0.783269,0.763592,0.764,-2.173565095
