Date,Open,High,Low,Close,Change
21/03/2005,83.019997,83.230003,81.540001,82.07,-0.0117
28/03/2005,82.059998,83.242996,82.059998,82.828003,0.0092
04/04/2005,82.800003,83.763,82.540001,83.529999,0.0085
11/04/2005,83.540001,83.870003,82.627998,82.75,-0.0093
18/04/2005,82.75,83.213997,82.050003,82.519997,-0.0028
25/04/2005,82.489998,82.785004,81.670998,81.93,-0.0071
02/05/2005,81.983002,82.235001,81,81.470001,-0.0056
09/05/2005,81.5,82.25,81.330002,81.610001,0.0017
16/05/2005,81.620003,81.846001,80.639999,81.639999,0.0004
23/05/2005,81.681,82.494003,81.540001,82.190002,0.0067
30/05/2005,82.199997,82.32,81.129997,81.459999,-0.0089
06/06/2005,81.43,82.851997,81.32,82.720001,0.0155
13/06/2005,82.709999,84.748001,82.559998,84.489998,0.0214
20/06/2005,84.510002,85,83.669998,84.010002,-0.0057
27/06/2005,83.989998,84.660004,83.629997,83.699997,-0.0037
04/07/2005,83.589996,83.82,82.68,83.281998,-0.005
11/07/2005,83.260002,84.525002,83.093002,84.040001,0.0091
18/07/2005,84.040001,85.639999,83.870003,85.029999,0.0118
25/07/2005,85.035004,85.474998,84.699997,85.169998,0.0016
01/08/2005,85.161003,87.586998,84.970001,86.25,0.0127
08/08/2005,86.230003,86.339996,84.370003,84.580002,-0.0194
15/08/2005,84.592003,84.830002,82.82,83.019997,-0.0184
22/08/2005,83.019997,83.685997,82.660004,83.059998,0.0005
29/08/2005,83.089996,84.161003,82.93,84.019997,0.0116
05/09/2005,84.032997,85.489998,83.589996,84.629997,0.0073
12/09/2005,84.629997,85.505997,81.334,85.290001,0.0078
19/09/2005,85.279999,86.045998,84.620003,85.110001,-0.0021
26/09/2005,85.110001,86.709999,84.709999,86.559998,0.017
03/10/2005,86.550003,87.309998,85.739998,86.010002,-0.0064
10/10/2005,86.010002,86.720001,85.508003,85.980003,-0.0003
17/10/2005,85.959999,87.050003,85.709999,86.635002,0.0076
24/10/2005,86.620003,87.580002,86.269997,86.720001,0.001
31/10/2005,86.720001,87.227997,86.330002,86.639999,-0.0009
07/11/2005,86.650002,86.720001,85.830002,86.459999,-0.0021
14/11/2005,86.459999,87.524002,86.330002,87.419998,0.0111
21/11/2005,87.410004,88.266998,87.25,87.919998,0.0057
28/11/2005,87.910004,90.507004,87.769997,90.370003,0.0279
05/12/2005,90.389,91.279999,89.830002,90.580002,0.0023
12/12/2005,90.550003,90.940002,85.762001,86,-0.0506
19/12/2005,85.989998,86.910004,84.440002,84.764999,-0.0144
26/12/2005,84.791,86.636002,84.699997,86.335999,0.0185
02/01/2006,86.441002,86.949997,85.720001,86.190002,-0.0017
09/01/2006,86.18,86.570999,85.540001,86.18,-0.0001
16/01/2006,86.209999,87.072998,85.669998,86.339996,0.0019
23/01/2006,86.339996,88.432999,85.739998,87.739998,0.0162
30/01/2006,87.739998,89.379997,87.739998,88.980003,0.0141
06/02/2006,88.980003,88.980003,85.809998,86.739998,-0.0252
13/02/2006,86.739998,87.642998,86.349998,87.279999,0.0062
20/02/2006,87.25,87.870003,86.059998,86.339996,-0.0108
27/02/2006,86.365997,86.900002,85.529999,86.779999,0.0051
06/03/2006,86.769997,87.32,86.110001,87.040001,0.003
13/03/2006,87.010002,87.470001,84.139999,84.489998,-0.0293
20/03/2006,84.440002,84.489998,83.169998,83.209999,-0.0151
27/03/2006,83.239998,86.245003,82.099998,84.160004,0.0114
03/04/2006,84.179001,86.269997,83.800003,85.900002,0.0207
10/04/2006,85.889999,86.959999,85.75,86.220001,0.0037
17/04/2006,86.209,87.82,85.718002,86.239998,0.0002
24/04/2006,86.269997,86.57,85.040001,86.18,-0.0007
01/05/2006,86.246002,87.746002,85.739998,86.57,0.0045
08/05/2006,86.598999,86.639999,84.449997,84.57,-0.0231
15/05/2006,84.580002,85.220001,83.669998,84.440002,-0.0015
22/05/2006,84.459999,85.420998,83.580002,85.150002,0.0084
29/05/2006,85.110001,85.760002,83.550003,83.739998,-0.0166
