Date,Open,High,Low,Close,Volume
30/11/2003,189.330002,189.660004,187.740005,187.630005,0
01/12/2003,187.669998,188.809998,187.559998,188.009995,0
02/12/2003,188.020004,188.240005,186.490005,187.089996,0
03/12/2003,187.029999,187.029999,185.899994,186.220001,0
04/12/2003,186.190002,186.740005,185.830002,185.880005,0
05/12/2003,185.949997,186.699997,185.589996,186.179993,0
08/12/2003,186.179993,187.229996,185.809998,186.809998,0
09/12/2003,186.869995,189.160004,186.800003,188.509995,0
10/12/2003,188.589996,188.910004,188.050003,188.520004,0
11/12/2003,188.440002,188.860001,187.869995,188.059998,0
12/12/2003,187.919998,188.539993,187.389999,188.160004,0
15/12/2003,188.179993,188.770004,187.669998,188.589996,0
16/12/2003,188.550003,189.869995,188.080002,189.520004,0
17/12/2003,189.399994,190.960007,189.399994,190.630005,0
18/12/2003,190.610001,190.789993,189.729996,190.270004,0
19/12/2003,190.039993,190.440002,188.860001,189.589996,0
22/12/2003,189.589996,194.809998,189.110001,189.410004,0
23/12/2003,189.399994,190.630005,189.210007,190.380005,0
24/12/2003,190.399994,190.529999,189.830002,190.339996,0
25/12/2003,190.330002,190.789993,189.490005,190.460007,0
26/12/2003,190.199997,190.320007,189.130005,189.800003,0
29/12/2003,189.910004,190.539993,189.490005,190.179993,0
30/12/2003,190.110001,192.039993,189.869995,192.029999,0
31/12/2003,192.029999,192.029999,190.210007,191.570007,0
01/01/2004,191.570007,192.490005,190.229996,192.289993,0
02/01/2004,191.949997,192.410004,190.960007,191.940002,0
05/01/2004,192.009995,193.990005,191.580002,193.360001,0
06/01/2004,193.360001,193.830002,192.389999,192.929993,0
07/01/2004,192.960007,194.869995,192.130005,194.669998,0
08/01/2004,194.729996,197.839996,194.410004,196.380005,0
09/01/2004,196.919998,197.679993,196.330002,196.779999,0
12/01/2004,196.679993,197.110001,195.490005,196.369995,0
13/01/2004,196.369995,196.369995,189.229996,194.649994,0
14/01/2004,194.690002,194.979996,192.910004,193.970001,0
15/01/2004,194.050003,194.050003,191.330002,191.759995,0
16/01/2004,191.949997,192.470001,191,191.139999,0
