Date,Open,High,Low,Close,Change
21/03/2005,200.919998,201.070007,197.509995,198.919998,0.0100
28/03/2005,198.889999,202.970001,198.520004,202.25,-0.0167
04/04/2005,202.25,204.399994,202.089996,203.919998,-0.0083
11/04/2005,203.910004,205.25,202.669998,203.880005,0.0002
18/04/2005,203.869995,205.279999,201.630005,202.380005,0.0074
25/04/2005,202.360001,202.649994,199.589996,200.279999,0.0104
02/05/2005,200.259995,200.820007,197.949997,198.869995,0.0070
09/05/2005,198.910004,201.399994,197.679993,198.460007,0.0021
16/05/2005,198.460007,198.970001,195.570007,197.399994,0.0053
23/05/2005,197.369995,197.660004,196.110001,197.009995,0.0020
30/05/2005,197.009995,197.360001,194.940002,195.369995,0.0083
06/06/2005,195.419998,197.639999,194.119995,196.800003,-0.0073
13/06/2005,196.710007,199.399994,196.330002,198.490005,-0.0086
20/06/2005,198.550003,199.679993,197.410004,199.050003,-0.0028
27/06/2005,199.050003,200.330002,196.509995,196.75,0.0116
04/07/2005,196.380005,197.289993,194.309998,194.929993,0.0093
11/07/2005,194.919998,197.660004,194.759995,196.539993,-0.0083
18/07/2005,196.550003,196.940002,192.720001,193.850006,0.0137
25/07/2005,193.809998,198.139999,193.419998,197.690002,-0.0198
01/08/2005,197.710007,202.979996,195.029999,199.350006,-0.0084
08/08/2005,199.339996,200.210007,198.130005,198.529999,0.0041
15/08/2005,198.520004,199.289993,197.330002,198.509995,0.0001
22/08/2005,198.5,198.940002,196.789993,198.389999,0.0006
29/08/2005,198.300003,202.860001,198.300003,201.860001,-0.0175
05/09/2005,201.830002,203.440002,200.509995,201.210007,0.0032
12/09/2005,201.220001,385.170013,192.139999,200.630005,0.0029
19/09/2005,200.619995,201.949997,197.949997,199.190002,0.0072
26/09/2005,199.160004,200.789993,198.889999,200.220001,-0.0052
03/10/2005,200.210007,202,199.820007,199.970001,0.0012
10/10/2005,199.940002,202.039993,199.169998,201.630005,-0.0083
17/10/2005,201.619995,205.559998,201.199997,204.669998,-0.0151
24/10/2005,204.690002,206.350006,203.75,205.399994,-0.0036
31/10/2005,205.399994,208.199997,205.139999,206.699997,-0.0063
