Date,Open,High,Low,Close,% Change OMX
21/03/2005,760.169983,770.47998,760.169983,770.47998,0.81
28/03/2005,770.47998,778.640015,769.48999,778.640015,1.06
04/04/2005,775.460022,791.090027,775.460022,791.090027,1.60
11/04/2005,792.299988,796.369995,784.289978,784.289978,-0.86
18/04/2005,772.859985,785.960022,772.859985,785.960022,0.21
25/04/2005,786.159973,786.159973,748.23999,749.539978,-4.63
02/05/2005,754.789978,766.25,754.789978,766.25,2.23
09/05/2005,768.799988,775.200012,762.130005,775.200012,1.17
16/05/2005,774.919983,785.109985,774.919983,784.580017,1.21
23/05/2005,784.340027,790.719971,783.169983,790.719971,0.78
30/05/2005,793.799988,795.580017,787.580017,787.580017,-0.40
06/06/2005,787.580017,799.590027,787.580017,799.590027,1.52
13/06/2005,801.169983,809.799988,801.169983,808.619995,1.13
20/06/2005,811.849976,828.22998,811.849976,828.22998,2.43
27/06/2005,809.909973,830.150024,809.909973,830.150024,0.23
04/07/2005,832.340027,832.340027,818.539978,832.22998,0.25
11/07/2005,845.630005,850.150024,843.809998,848.460022,1.95
18/07/2005,849.75,852.789978,846.799988,852.52002,0.48
25/07/2005,852.409973,863.840027,852.409973,863.840027,1.33
01/08/2005,862.969971,870.869995,860.880005,860.880005,-0.34
08/08/2005,861,874.859985,861,866.859985,0.69
15/08/2005,867.299988,867.299988,861.340027,866.469971,-0.04
22/08/2005,866.940002,866.940002,833.859985,833.859985,-3.76
29/08/2005,841.070007,853.669983,838.330017,853.669983,2.38
05/09/2005,856.210022,868.929993,856.210022,868.929993,1.79
12/09/2005,869.580017,873.030029,869.200012,872.429993,0.40
19/09/2005,872.390015,872.679993,864.049988,870.030029,-0.28
26/09/2005,882.830017,896.289978,882.77002,896.289978,3.02
03/10/2005,905.380005,905.380005,888.130005,888.130005,-0.91
10/10/2005,892.059998,892.51001,873.940002,876.330017,-1.33
17/10/2005,872.890015,872.890015,854.599976,854.599976,-2.48
24/10/2005,863.5,872.909973,862.659973,862.659973,0.94
31/10/2005,882.630005,898.23999,882.630005,896.619995,3.94
07/11/2005,901.609985,914.099976,899.280029,914.099976,1.95
14/11/2005,914.299988,918.97998,911.530029,918.97998,0.53
21/11/2005,922.73999,922.73999,916.840027,919.650024,0.07
28/11/2005,921.799988,933.690002,911.159973,933.690002,1.53
05/12/2005,926.97998,943.159973,926.97998,943.159973,1.01
12/12/2005,940.289978,943.570007,934.789978,943.570007,0.04
19/12/2005,943.719971,958.440002,943.719971,958.440002,1.58
26/12/2005,958.440002,966.73999,958.440002,960.01001,0.16
02/01/2006,963.390015,973.609985,963.390015,972.890015,1.34
09/01/2006,982.630005,982.630005,967.26001,967.26001,-0.58
16/01/2006,971.640015,971.640015,935.869995,935.869995,-3.25
23/01/2006,935.140015,959.349976,929.219971,959.349976,2.51
30/01/2006,958.98999,969.679993,958.98999,963.140015,0.40
06/02/2006,968.450012,977.400024,961.710022,968.570007,0.56
13/02/2006,973.369995,983.580017,973.369995,982.890015,1.48
20/02/2006,985.77002,1010.73999,985.77002,1010.73999,2.83
27/02/2006,1015.710022,1015.710022,995.01001,1010.049988,-0.07
06/03/2006,1014.780029,1014.780029,997.440002,1009.429993,-0.06
13/03/2006,1018.359985,1034.060059,1017.710022,1034.060059,2.44
20/03/2006,1041.369995,1063.73999,1041.369995,1063.73999,2.87
27/03/2006,1056.920044,1069.339966,1052.670044,1059.939941,-0.36
03/04/2006,1076.5,1076.5,1055.709961,1055.709961,-0.40
10/04/2006,1059.140015,1059.140015,1046.209961,1052.030029,-0.35
17/04/2006,1052.030029,1064.900024,1049.680054,1062.790039,1.02
24/04/2006,1054.48999,1054.48999,1036.869995,1036.869995,-2.44
01/05/2006,1036.869995,1055.449951,1036.869995,1055.449951,1.79
08/05/2006,1053.76001,1054.119995,1013.690002,1013.690002,-3.96
15/05/2006,997.349976,1001.630005,950.080017,951.590027,-6.13
22/05/2006,906.25,972.789978,906.25,972.789978,2.23
29/05/2006,971.169983,971.169983,937.469971,954.690002,-1.86
05/06/2006,951.289978,951.289978,892.330017,917.5,-3.90
12/06/2006,902.159973,924.799988,878.159973,909.789978,-0.84
19/06/2006,920.859985,928.719971,919.119995,928.719971,2.08
26/06/2006,928.559998,956.48999,915.97998,956.48999,2.99
03/07/2006,961.23999,965.419983,949.619995,949.619995,-0.72
10/07/2006,954.099976,954.099976,906.049988,906.049988,-4.59
17/07/2006,899.349976,929.539978,893.570007,914.599976,0.94
24/07/2006,931.960022,955.049988,928.690002,955.049988,4.42
31/07/2006,946.26001,946.26001,932.039978,944.969971,-1.06
07/08/2006,932.099976,941.059998,932.099976,937.130005,-0.83
14/08/2006,945.369995,979.849976,945.369995,978.150024,4.38
21/08/2006,977.690002,982.919983,971.780029,972.590027,-0.57
28/08/2006,978.299988,997.570007,978.299988,997.570007,2.57
04/09/2006,1011.580017,1011.580017,989.530029,999.080017,0.15
11/09/2006,993.109985,1027.869995,993.109985,1025.469971,2.64
18/09/2006,1032.109985,1041.079956,1026.689941,1028.689941,0.31
25/09/2006,1017.349976,1040.650024,1017.349976,1039.339966,1.04
02/10/2006,1043.359985,1060.339966,1034.150024,1059.819946,1.97
09/10/2006,1066.930054,1097.27002,1066.930054,1092.119995,3.05
16/10/2006,1077.5,1094.219971,1077.5,1094.219971,0.19
23/10/2006,1099.160034,1099.810059,1088.300049,1088.300049,-0.54
30/10/2006,1082.869995,1094.910034,1082.869995,1084.859985,-0.32
06/11/2006,1102.859985,1108.709961,1099.369995,1099.369995,1.34
13/11/2006,1106.589966,1117.949951,1098.819946,1098.819946,-0.05
20/11/2006,1106.540039,1109.550049,1089.75,1089.75,-0.83
27/11/2006,1058.069946,1085.140015,1058.069946,1059.839966,-2.74
04/12/2006,1074.670044,1096.189941,1074.670044,1095.930054,3.41
11/12/2006,1111.589966,1139.050049,1111.589966,1139.050049,3.93
18/12/2006,1138.819946,1141.48999,1126.550049,1141.48999,0.21
25/12/2006,1150.25,1150.25,1147.27002,1147.27002,0.51
01/01/2007,1164.119995,1164.119995,1147.219971,1147.219971,0.00
08/01/2007,1144.47998,1160.040039,1133.050049,1159.459961,1.07
15/01/2007,1173.869995,1180.569946,1170.630005,1180.569946,1.82
22/01/2007,1181.349976,1185.819946,1175.130005,1177.349976,-0.27
29/01/2007,1178.880005,1191.709961,1178.880005,1187.089966,0.83
05/02/2007,1192.640015,1206.02002,1192.640015,1201.150024,1.18
12/02/2007,1187.119995,1220.369995,1187.119995,1215.040039,1.16
19/02/2007,1221.449951,1221.449951,1207.26001,1218.319946,0.27
26/02/2007,1229.650024,1229.650024,1151.180054,1159.550049,-4.82
05/03/2007,1147.930054,1188.880005,1147.930054,1188.880005,2.53
12/03/2007,1191.530029,1191.530029,1136.829956,1166.97998,-1.84
19/03/2007,1188.72998,1223.569946,1188.72998,1221.849976,4.70
26/03/2007,1206.26001,1214.630005,1201.140015,1214.410034,-0.61
02/04/2007,1225.97998,1245.569946,1225.97998,1242.180054,2.29
09/04/2007,1255.72998,1263.530029,1249.189941,1263.530029,1.72
16/04/2007,1277.640015,1282.180054,1267.380005,1282.180054,1.48
23/04/2007,1278.430054,1278.430054,1260.98999,1264.609985,-1.37
30/04/2007,1273.829956,1273.829956,1256.75,1264.189941,-0.03
07/05/2007,1272.619995,1272.619995,1221.689941,1240.390015,-1.88
